sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price,avg_price_per_unit
Misc Office Supplies SKU 27,2022-04-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-30,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-05-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-05-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-05-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,2.0,23.99,32.99,25.666666666666668
